subno,condition,torder,tid,time,diff,eff,wgcon,wgcom,wta,wea,correct,incorrect,goal,wfocalgpd,correctnc,incorrectnc,wtlin
106,-1,6,6,300,9,9,10,10,3,3,6,4,8,-2,0,1,2
106,-1,7,7,60,9,10,9,9,2,2,3,0,6,-3,3,0,-2
106,-1,7,7,120,9,9,9,9,3,3,4,1,6,-2,1,1,-1
106,-1,7,7,180,9,9,9,9,3,3,5,1,6,-1,1,0,0
106,-1,7,7,240,9,9,9,9,3,3,8,2,6,2,3,1,1
106,-1,7,7,300,9,9,9,9,3,3,8,2,6,2,0,0,2
106,-1,8,1,60,7,7,7,7,2,2,4,0,8,-4,4,0,-2
106,-1,8,1,120,9,9,9,9,3,3,5,0,8,-3,1,0,-1
106,-1,8,1,180,9,9,9,9,3,3,6,0,8,-2,1,0,0
106,-1,8,1,240,9,9,9,9,3,3,9,0,8,1,3,0,1
106,-1,8,1,300,10,10,9,9,4,4,10,0,8,2,1,0,2
106,-1,9,2,60,10,10,10,10,4,4,3,1,10,-7,3,1,-2
106,-1,9,2,120,9,9,9,9,3,3,5,1,10,-5,2,0,-1
106,-1,9,2,180,9,9,9,9,4,4,7,1,10,-3,2,0,0
106,-1,9,2,240,9,9,9,9,3,3,8,1,10,-2,1,0,1
106,-1,9,2,300,9,9,9,9,4,4,9,1,10,-1,1,0,2
106,-1,10,10,60,9,9,9,9,4,4,4,0,10,-6,4,0,-2
106,-1,10,10,120,9,9,9,9,4,4,5,0,10,-5,1,0,-1
106,-1,10,10,180,10,10,10,10,5,5,6,2,10,-4,1,2,0
106,-1,10,10,240,10,10,10,10,5,5,7,2,10,-3,1,0,1
106,-1,10,10,300,10,10,10,10,5,5,8,2,10,-2,1,0,2
106,-1,11,4,60,10,10,10,10,5,5,2,0,10,-8,2,0,-2
106,-1,11,4,120,10,10,10,10,5,5,5,0,10,-5,3,0,-1
106,-1,11,4,180,10,10,10,10,5,5,6,1,10,-4,1,1,0
106,-1,11,4,240,10,10,10,10,5,5,8,1,10,-2,2,0,1
106,-1,11,4,300,10,10,10,10,5,5,9,1,10,-1,1,0,2
107,1,2,7,60,6,10,6,7,-1,0,2,2,6,4,2,2,-2
107,1,2,7,120,5,5,5,5,0,3,2,3,6,3,0,1,-1
107,1,2,7,180,10,10,10,10,5,5,2,3,6,3,0,0,0
107,1,2,7,240,7,8,7,5,5,5,2,5,6,1,0,2,1
107,1,2,7,300,5,5,5,8,1,1,2,8,6,-2,0,3,2
107,1,3,3,60,6,6,6,9,3,3,1,2,6,4,1,2,-2
107,1,3,3,120,8,8,8,8,4,4,1,4,6,2,0,2,-1
107,1,3,3,180,6,6,8,8,3,3,2,5,6,1,1,1,0
107,1,3,3,240,6,6,6,6,2,2,2,7,6,-1,0,2,1
107,1,3,3,300,5,7,5,3,-1,-1,3,7,6,-1,1,0,2
107,1,4,2,60,5,5,5,5,0,0,2,2,6,4,2,2,-2
107,1,4,2,120,5,5,5,5,0,0,3,3,6,3,1,1,-1
107,1,4,2,180,5,5,5,5,3,5,3,5,6,1,0,2,0
107,1,4,2,240,6,10,8,10,1,1,4,5,6,1,1,0,1
107,1,4,2,300,6,10,10,10,0,0,5,5,6,1,1,0,2
107,1,5,9,60,5,5,5,10,-1,-1,2,0,4,4,2,0,-2
107,1,5,9,120,6,10,10,10,2,2,4,1,4,3,2,1,-1
107,1,5,9,180,6,6,8,10,4,0,4,2,4,2,0,1,0
107,1,5,9,240,6,6,6,6,0,0,4,3,4,1,0,1,1
107,1,5,9,300,7,7,7,7,2,2,5,5,4,-1,1,2,2
107,1,6,8,60,7,10,9,10,2,2,3,0,6,6,3,0,-2
107,1,6,8,120,7,10,9,10,2,5,4,1,6,5,1,1,-1
107,1,6,8,180,6,6,6,6,0,0,5,1,6,5,1,0,0
107,1,6,8,240,6,6,6,6,0,0,7,2,6,4,2,1,1
107,1,6,8,300,6,10,10,10,-1,-3,7,3,6,3,0,1,2
107,1,7,1,60,6,10,10,10,-1,-1,3,0,6,6,3,0,-2
107,1,7,1,120,5,10,10,10,0,0,5,0,6,6,2,0,-1
107,1,7,1,180,6,6,6,6,1,1,5,0,6,6,0,0,0
107,1,7,1,240,6,6,6,6,0,0,6,1,6,5,1,1,1
107,1,7,1,300,6,10,10,10,-2,-3,8,2,6,4,2,1,2
